"Timestamp","Queue Size"
"2023-08-23T12:40:43.643324","2261"
"2023-08-23T12:40:45.253073","2258"
"2023-08-23T12:40:46.841289","2255"
"2023-08-23T12:40:48.323008","2251"
"2023-08-23T12:40:49.653433","2248"
"2023-08-23T12:40:50.930559","2245"
"2023-08-23T12:40:52.179392","2242"
"2023-08-23T12:40:53.440952","2239"
"2023-08-23T12:40:54.670870","2236"
"2023-08-23T12:40:56.022953","2233"
"2023-08-23T12:40:57.271695","2230"
"2023-08-23T12:40:58.524890","2227"
"2023-08-23T12:40:59.813786","2224"
"2023-08-23T12:41:01.040245","2221"
"2023-08-23T12:41:02.266372","2218"
"2023-08-23T12:41:03.481443","2215"
"2023-08-23T12:41:04.723332","2212"
"2023-08-23T12:41:05.948130","2209"
"2023-08-23T12:41:07.212569","2206"
"2023-08-23T12:41:08.452910","2203"
"2023-08-23T12:41:09.680403","2200"
"2023-08-23T12:41:10.900186","2197"
"2023-08-23T12:41:12.124320","2194"
"2023-08-23T12:41:13.353064","2191"
"2023-08-23T12:41:14.571020","2188"
"2023-08-23T12:41:15.772247","2185"
"2023-08-23T12:41:17.007554","2182"
"2023-08-23T12:41:18.245172","2179"
"2023-08-23T12:41:19.472737","2176"
"2023-08-23T12:41:20.722251","2173"
"2023-08-23T12:41:22.006819","2170"
"2023-08-23T12:41:23.214917","2167"
"2023-08-23T12:41:24.451817","2164"
"2023-08-23T12:41:25.678193","2161"
"2023-08-23T12:41:26.912808","2158"
"2023-08-23T12:41:28.141971","2155"
"2023-08-23T12:41:29.364092","2152"
"2023-08-23T12:41:30.590702","2149"
"2023-08-23T12:41:31.818830","2146"
"2023-08-23T12:41:33.054268","2143"
"2023-08-23T12:41:34.263453","2140"
"2023-08-23T12:41:35.477261","2137"
"2023-08-23T12:41:36.708059","2134"
"2023-08-23T12:41:37.974135","2131"
"2023-08-23T12:41:39.177984","2128"
"2023-08-23T12:41:40.391014","2125"
"2023-08-23T12:41:41.621340","2122"
"2023-08-23T12:41:42.846665","2119"
"2023-08-23T12:41:44.034420","2116"
"2023-08-23T12:41:45.270342","2113"
"2023-08-23T12:41:46.484861","2110"
"2023-08-23T12:41:47.914819","2107"
"2023-08-23T12:41:49.150308","2104"
"2023-08-23T12:41:50.362799","2101"
"2023-08-23T12:41:51.572010","2098"
"2023-08-23T12:41:52.789453","2095"
"2023-08-23T12:41:54.081451","2092"
"2023-08-23T12:41:55.308353","2089"
"2023-08-23T12:41:56.531011","2086"
"2023-08-23T12:41:57.764099","2083"
"2023-08-23T12:41:59.005893","2080"
"2023-08-23T12:42:00.216073","2077"
"2023-08-23T12:42:01.445895","2074"
"2023-08-23T12:42:02.638621","2071"
"2023-08-23T12:42:03.856162","2068"
"2023-08-23T12:42:05.116396","2065"
"2023-08-23T12:42:06.367132","2062"
"2023-08-23T12:42:07.572304","2059"
"2023-08-23T12:42:08.784343","2056"
"2023-08-23T12:42:10.054513","2053"
"2023-08-23T12:42:11.285516","2050"
"2023-08-23T12:42:12.489631","2047"
"2023-08-23T12:42:13.764392","2044"
"2023-08-23T12:42:14.977082","2041"
"2023-08-23T12:42:16.172002","2038"
"2023-08-23T12:42:17.370101","2035"
"2023-08-23T12:42:18.621001","2032"
"2023-08-23T12:42:19.831814","2029"
"2023-08-23T12:42:21.024335","2026"
"2023-08-23T12:42:22.253319","2023"
"2023-08-23T12:42:23.486736","2020"
"2023-08-23T12:42:24.709795","2017"
"2023-08-23T12:42:25.964043","2014"
"2023-08-23T12:42:27.165173","2011"
"2023-08-23T12:42:28.398856","2008"
"2023-08-23T12:42:29.624010","2005"
"2023-08-23T12:42:30.862561","2002"
"2023-08-23T12:42:32.065823","1999"
"2023-08-23T12:42:33.280539","1996"
"2023-08-23T12:42:34.499969","1994"
"2023-08-23T12:42:35.713392","1992"
"2023-08-23T12:42:36.917133","1990"
"2023-08-23T12:42:38.121627","1988"
"2023-08-23T12:42:39.346664","1986"
"2023-08-23T12:42:40.549244","1984"
"2023-08-23T12:42:41.750672","1982"
"2023-08-23T12:42:42.957667","1980"
"2023-08-23T12:42:44.168953","1978"
"2023-08-23T12:42:45.365638","1976"
"2023-08-23T12:42:46.586913","1974"
"2023-08-23T12:42:47.863908","1972"
"2023-08-23T12:42:49.105812","1970"
"2023-08-23T12:42:50.313996","1968"
"2023-08-23T12:42:51.561074","1966"
"2023-08-23T12:42:52.786948","1964"
"2023-08-23T12:42:53.996874","1962"
"2023-08-23T12:42:55.207709","1960"
"2023-08-23T12:42:56.405913","1958"
"2023-08-23T12:42:57.603165","1956"
"2023-08-23T12:42:58.813789","1954"
"2023-08-23T12:43:00.040413","1952"
"2023-08-23T12:43:01.240349","1950"
"2023-08-23T12:43:02.432092","1948"
"2023-08-23T12:43:03.634240","1946"
"2023-08-23T12:43:04.863777","1944"
"2023-08-23T12:43:06.073263","1942"
"2023-08-23T12:43:07.265481","1940"
"2023-08-23T12:43:08.490113","1938"
"2023-08-23T12:43:09.691704","1936"
"2023-08-23T12:43:10.870427","1934"
"2023-08-23T12:43:12.068764","1932"
"2023-08-23T12:43:13.287895","1930"
"2023-08-23T12:43:14.489748","1928"
"2023-08-23T12:43:15.696770","1926"
"2023-08-23T12:49:16.924320","1890"
"2023-08-23T12:49:18.222670","1888"
"2023-08-23T12:49:19.477392","1886"
"2023-08-23T12:49:20.701456","1884"
"2023-08-23T12:49:21.965344","1882"
"2023-08-23T12:49:23.199406","1880"
"2023-08-23T12:49:24.423664","1878"
"2023-08-23T12:49:25.683527","1876"
"2023-08-23T12:49:26.927652","1874"
"2023-08-23T12:49:28.209253","1872"
"2023-08-23T12:49:29.453317","1870"
"2023-08-23T12:49:30.677800","1868"
"2023-08-23T12:49:31.909434","1866"
"2023-08-23T12:49:33.170039","1864"
"2023-08-23T12:49:34.388387","1862"
"2023-08-23T12:49:35.626567","1860"
"2023-08-23T12:49:36.869465","1858"
"2023-08-23T12:49:38.098201","1856"
"2023-08-23T12:49:39.333546","1854"
