"Timestamp","Latency (ms)"
"2023-08-23T12:48:43.886106","1000"
"2023-08-23T12:48:45.148561","1000"
"2023-08-23T12:48:46.396105","1001"
"2023-08-23T12:48:47.832468","1001"
"2023-08-23T12:48:49.083470","1000"
"2023-08-23T12:48:50.342372","1001"
"2023-08-23T12:48:51.596162","1000"
"2023-08-23T12:48:52.824784","1000"
"2023-08-23T12:48:54.053207","1001"
"2023-08-23T12:48:55.311175","1000"
"2023-08-23T12:48:56.550511","1000"
"2023-08-23T12:48:57.798327","1000"
"2023-08-23T12:48:59.050208","1000"
"2023-08-23T12:49:00.297180","1001"
"2023-08-23T12:49:01.532984","1000"
"2023-08-23T12:49:02.780543","1000"
"2023-08-23T12:49:04.070801","1001"
"2023-08-23T12:49:05.296497","1001"
"2023-08-23T12:49:06.541831","1000"
"2023-08-23T12:49:07.776266","1000"
"2023-08-23T12:49:09.008686","1000"
"2023-08-23T12:49:10.249863","1001"
"2023-08-23T12:49:11.478526","1000"
"2023-08-23T12:49:12.746730","1000"
"2023-08-23T12:49:14.006855","1000"
"2023-08-23T12:49:15.252810","1001"
"2023-08-23T12:49:16.494769","1002"
"2023-08-23T12:49:17.849159","1000"
"2023-08-23T12:49:19.086614","1000"
"2023-08-23T12:49:20.330289","1000"
"2023-08-23T12:49:21.581137","1000"
"2023-08-23T12:49:22.874308","1000"
"2023-08-23T12:49:24.107446","1000"
"2023-08-23T12:49:25.341905","1000"
"2023-08-23T12:49:26.604497","1000"
"2023-08-23T12:49:27.844081","1000"
"2023-08-23T12:49:29.090879","1001"
"2023-08-23T12:49:30.310532","1001"
"2023-08-23T12:49:31.560498","1000"
"2023-08-23T12:49:32.799470","1000"
"2023-08-23T12:49:34.046877","1000"
"2023-08-23T12:49:35.308288","1000"
"2023-08-23T12:49:36.541413","1001"
"2023-08-23T12:49:37.774723","1000"
"2023-08-23T12:49:39.016716","1000"
"2023-08-23T12:49:40.266864","1000"
"2023-08-23T12:49:41.505164","1001"
"2023-08-23T12:49:42.759739","1000"
"2023-08-23T12:49:44.015383","1000"
"2023-08-23T12:49:45.271631","1001"
"2023-08-23T12:49:46.514367","999"
"2023-08-23T12:49:47.850035","1000"
"2023-08-23T12:49:49.073868","1000"
"2023-08-23T12:49:50.311321","1000"
"2023-08-23T12:49:51.564622","1000"
"2023-08-23T12:49:52.833593","1000"
"2023-08-23T12:49:54.069389","1000"
"2023-08-23T12:49:55.303844","1000"
"2023-08-23T12:49:56.528142","1000"
"2023-08-23T12:49:57.746205","1001"
"2023-08-23T12:49:58.999222","1001"
"2023-08-23T12:50:00.232882","1000"
"2023-08-23T12:50:01.456326","1000"
"2023-08-23T12:50:02.701621","1000"
"2023-08-23T12:50:03.941631","1000"
"2023-08-23T12:50:05.204346","1000"
"2023-08-23T12:50:06.454977","1000"
"2023-08-23T12:50:07.693834","1000"
"2023-08-23T12:50:08.935888","1000"
"2023-08-23T12:50:10.189759","1000"
"2023-08-23T12:50:11.394348","1000"
"2023-08-23T12:50:12.611408","1001"
"2023-08-23T12:50:13.849005","1001"
"2023-08-23T12:50:15.051775","1001"
"2023-08-23T12:50:16.265981","1000"
"2023-08-23T12:50:17.484928","1000"
"2023-08-23T12:50:18.704862","1000"
"2023-08-23T12:50:19.943906","1000"
"2023-08-23T12:50:21.150577","1000"
"2023-08-23T12:50:22.397018","1000"
"2023-08-23T12:50:23.630823","1000"
"2023-08-23T12:50:24.842223","1001"
"2023-08-23T12:50:26.104196","1000"
"2023-08-23T12:50:27.357448","1001"
"2023-08-23T12:50:28.590506","1001"
"2023-08-23T12:50:29.854707","1000"
"2023-08-23T12:50:31.133621","1000"
"2023-08-23T12:50:32.367816","1000"
"2023-08-23T12:50:33.624014","1000"
"2023-08-23T12:50:34.870676","1000"
"2023-08-23T12:50:36.096837","1000"
"2023-08-23T12:50:37.358614","1000"
"2023-08-23T12:50:38.603505","1000"
"2023-08-23T12:50:39.830257","1000"
"2023-08-23T12:50:41.093534","1000"
"2023-08-23T12:50:42.326559","1000"
"2023-08-23T12:50:43.555776","1000"
"2023-08-23T12:50:44.777554","1000"
"2023-08-23T12:50:46.025379","1000"
"2023-08-23T12:50:47.254056","1001"
